"query","institutions.0.name","institutions.0.has_mfa","institutions.0.institution_id"
"Affinity Plus Credit Union",,,
"Ally Bank","Ally Bank",false,"ins_25"
"Altura Credit Union",,,
"Americas Credit Union",,,
"Arvest Bank","Arvest Bank",true,"ins_100030"
"Associated Bank",,,
"Bank of America","Bank of America",true,"ins_1"
"Bank of America","Bank of America",true,"ins_1"
"Bank of America","Bank of America",true,"ins_1"
"Bank of America","Bank of America",true,"ins_1"
"Bank of America","Bank of America",true,"ins_1"
"Bank of America","Bank of America",true,"ins_1"
"Bank of America -Direct Debits 2",,,
"BB&T","BB&T",true,"ins_2"
"BBVA Compass Bank",,,
"BOA",,,
"Bock",,,
"Bulman-Griggs",,,
"callahan",,,
"Cape Cod 5 bank",,,
"Capital One Bank",,,
"Capital One Bank",,,
"Centennial Bank","Centennial Bank and Trust (CO)",false,"ins_110498"
"Charles Schwab",,,
"Charles Schwab",,,
"Charles Schwab Bank",,,
"Chase","Chase",true,"ins_3"
"Chase","Chase",true,"ins_3"
"Chase Bank",,,
"Chase Bank",,,
"Chase Bank",,,
"citibank",,,
"CITIZENS BANK","Citizens Bank",true,"ins_20"
"CITIZENS BANK","Citizens Bank",true,"ins_20"
"CITIZENS BANK","Citizens Bank",true,"ins_20"
"Comerica Bank",,,
"Commerce Bank",,,
"Commerce Bank NA",,,
"Community First Credit Union",,,
"Disantostefano",,,
"Discover Bank",,,
"Downs",,,
"EvergreenDirect Credit Union",,,
"Fagan",,,
"Federal Credit Union","A+ Federal Credit Union",true,"ins_110437"
"First citizens bank","First Citizens Bank",true,"ins_110019"
"First International Bank and Trust",,,
"First Niagara",,,
"First United Bank and Trust",,,
"Forum Credit Union",,,
"Fresno County Federal Credit union",,,
"Frost Bank",,,
"Golden",,,
"Golden 1",,,
"Golden 1 Credit Union",,,
"Golden One Crdeit Union",,,
"Huntington Bank","Huntington Bank",true,"ins_21"
"ING Direct",,,
"Jackson",,,
"JP Morgan Chase",,,
"JP Morgan Chase Bank",,,
"JPMorgan Chase Bank, N.A.",,,
"Kathy White (B of A)",,,
"Key Bank",,,
"Keybank",,,
"Keys",,,
"Kouba",,,
"Liberty Bay Credit Union",,,
"Logan Medical Federal Credit Union",,,
"Long Beach Schools Financial Credit Union",,,
"Lueke",,,
"Malaga Bank",,,
"Malkin-Weber",,,
"Martin",,,
"McGraw",,,
"Medina Savings and Loan",,,
"Members 1st",,,
"Merchants Bank",,,
"Michigan 1st Credit Union",,,
"Moore",,,
"NORTH CAROLINA STATE EMPLOYEES CREDIT UNION",,,
"OnPoint CU",,,
"Oswald",,,
"Pentagon Federal Credit Union",,,
"People's Bank","Peoples Bank of Alabama",true,"ins_110485"
"PNC","PNC",true,"ins_13"
"PNC","PNC",true,"ins_13"
"PNC","PNC",true,"ins_13"
"PNC","PNC",true,"ins_13"
"PNC Bank",,,
"PNC Bank",,,
"PNC Bank",,,
"PNC Bank",,,
"PNC Bank",,,
"PNC Bank",,,
"Rabideau",,,
"Randolph Brooks FCU",,,
"Regions","Regions Bank",true,"ins_19"
"Sarr",,,
"Schools first",,,
"Schools First Credit Union",,,
"SchoolsFirst federal credit union",,,
"Scott","Scott Credit Union",true,"ins_110478"
"Scott Credit Union","Scott Credit Union",true,"ins_110478"
"Sound CU",,,
"Southwest Bank",,,
"sovereign santander bank",,,
"Spage Age Federal Credit Unit",,,
"spokane teachers credit union",,,
"Spollen",,,
"Sweeny",,,
"Tri counties Bank",,,
"united community bank",,,
"university federal credit union",,,
"US Bank","US Bank",true,"ins_6"
"USAA","USAA",true,"ins_7"
"USAA","USAA",true,"ins_7"
"USAA Federal Savings Bank",,,
"USAA Federal Savings Bank",,,
"USAA Federal Savings Bank",,,
"Wachovia Bank",,,
"Washington Mutual",,,
"Wells Fargo","Wells Fargo",false,"ins_4"
"Wells Fargo","Wells Fargo",false,"ins_4"
"Wells Fargo","Wells Fargo",false,"ins_4"
"Wells Fargo","Wells Fargo",false,"ins_4"
"Wells Fargo","Wells Fargo",false,"ins_4"
"Wells Fargo Bank",,,